katz_centrality,vertex
0.004622053,CP00-1442
0.004622053,HoCP03-0716
0.004622053,CP10-2413
0.0046220473,CP12-2061
0.00462205,CP02-1071
0.004622053,CP16-1295
0.004622053,Ho17-9138
0.0046220473,CP92-1102
0.00462205,CP14-2066
0.00462205,CP14-2136
0.004622053,CP17-2326
0.0046220473,CP16-1576
0.004622053,CP66-0372
0.004622053,L18-0463
0.004622053,CP02-1600
0.004622053,CP14-1730
0.0046220515,CP14-4392
0.0046220515,CP09-1607
0.004622053,CP19-1994
0.004622053,CP01-1595
0.00462205,CP97-1179
0.004622053,CP89-0834
0.004622053,CP55-0014
0.004622053,HoCP93-0743
0.004622053,CP01-2197
0.004622053,CP12-2218
0.004622053,CP18-4859
0.0046220473,CPCL05-1074
0.004622053,HoCP00-0916
0.0046220473,CP07-1340
0.004622053,CP11-2466
0.004622053,CP07-1171
0.0046220473,CP93-1760
0.004622053,CP15-1491
0.00462205,CP10-1943
0.0046220473,CP94-1997
0.004622053,CP18-2395
0.00462205,CP17-2214
0.0046220473,CP06-2197
0.004622053,CP17-1494
0.004622053,CP13-1702
0.004622053,CP09-2345
0.00462205,CP11-1569
0.004622053,CP14-1574
0.00462205,CPCL02-0307
0.004622053,CP06-2752
0.004622053,CP87-1475
0.00462205,CP01-1281
0.00462205,CP06-2553
0.00462205,CP11-1550
0.004622053,CP16-1940
0.004622053,CP17-1185
0.004622053,CP17-2386
0.0046220473,CPCL02-6022
0.0046220473,CP99-2012
0.004622053,CP17-1828
0.0046220473,CP93-1141
0.00462205,CP91-1263
0.004622053,CP19-1065
0.00462205,CP97-1743
0.00462205,CP19-4206
0.004622053,CP04-1736
0.00462205,CP10-1329
0.00462205,CP15-1097
0.0046220473,CP97-1291
0.00462205,CP93-1326
0.004622053,CP16-1239
0.00462205,Ho83-0008
0.004622053,CP06-2932
0.004622053,Ho96-0565
0.0046220473,CP19-2337
0.00462205,CPCL01-6539
0.004622053,CP98-1249
0.004622053,CL61-0620
0.0046220473,CP11-1946
0.004622053,L05-0451
0.004622053,HoL08-0720
0.004622053,LCP88-0079
0.004622053,CP16-1290
0.0046220473,CP99-1339
0.004622053,CP04-1451
0.004622053,HoCP98-0709
0.0046220473,CP95-1728
0.004622053,CP19-2462
0.0046220473,CP99-2110
0.004622053,CP06-2078
0.00462205,CP10-1001
0.004622053,CP16-4415
0.00462205,CP11-1248
0.004622053,CP97-1390
0.004622053,CP03-1259
0.00462205,CP03-1208
0.004622053,CP02-1463
0.004622053,CP02-2323
0.0046220473,CP07-2021
0.004622053,Ho12-0632
0.00462205,CP01-1733
0.004622053,CP01-2251
0.004622053,L95-0457
0.004622053,CP06-3060
0.00462205,CP99-1009
0.004622053,CP62-0258
0.004622053,CP14-4384
0.00462205,CPCL06-3519
0.004622053,CP02-2213
0.004622053,CP14-1513
0.004622053,CP06-2061
0.004622053,CP96-1393
0.004622053,CP15-1154
0.00462205,FAM89-686
0.00462205,CP91-1280
0.00462205,CP01-1414
0.00462205,CP01-2639
0.004622053,CP16-2191
0.004622053,CP02-1345
0.00462205,CP99-1436
0.004622053,HoCP97-0660
0.004622053,CP13-1568
0.004622053,CP17-2246
0.004622053,Ho19-9303
0.00462205,CP13-1420
0.004622053,CP17-1403
0.00462205,CP02-1020
0.00462205,CP15-4029
0.004622053,L96-0048
0.0046220473,CP10-1797
0.004622053,CP97-1644
0.004622053,L01-0293
0.004622053,CP19-1237
0.00462205,CP94-1077
0.004622053,CP91-1458
0.00462205,CP14-2505
0.00462205,CP14-2095
0.0046220473,CP99-1876
0.004622053,CP93-1106
0.004622053,CP13-1266
0.004622053,L84-0288
