labels,vertex
6975,CP04-1541
16,Ho13-0705
17,CP96-1367
18,Ho09-9150
19,CP10-1682
20,CP06-2990
21,CP96-1112
22,CP18-1901
23,CP97-1987
24,CP02-2523
25,HoCP95-0993
26,CP01-2547
27,CP96-1059
28,CP93-1308
29,CP09-2255
30,CP97-1523
31,CP92-1158
768,CP96-1167
769,CP19-1851
770,CP93-1179
771,CP95-1707
772,CP13-1141
773,CP09-1168
774,CP95-1371
775,CPCL06-3329
776,CP12-2082
777,HB99-0056
778,CP91-0501
779,CP85-0842
780,CP97-1310
781,CP11-1017
782,CP03-1615
783,L88-0037
4544,CP16-4431
4545,HoCP11-0900
4546,CP01-2115
4547,CP09-2194
4548,CPCL01-6511
4549,Ho14-9233
4550,HoCP06-0506
4551,CP94-1932
4552,CP91-1506
4553,CP18-1227
4554,CP31-0432
4555,Ho19-9311
4556,TCP81-3058
4557,CP91-1283
4558,CP14-4472
4559,CP94-1808
7024,CP04-1421
7025,CP06-3018
7026,CP97-1258
7027,CPCL02-1493
7028,CP14-1064
7029,CP14-4286
7030,CP06-2424
7031,CP96-1907
7032,CP09-2089
7033,CP09-2043
7034,CP19-1119
7035,CP13-1614
7036,CP92-1398
7037,CP09-1826
7038,CP92-1291
7039,CP17-1696
12464,CP03-2134
12465,CP97-1792
12466,CP02-1143
12467,CP00-1066
12468,CP93-1037
12469,CP99-1849
12470,CP00-1927
12471,CP19-2223
12472,CP18-1460
12473,LCP83-0152
12474,CP10-1435
12475,CP03-1968
12476,CP10-1045
12477,CP17-1097
12478,CP00-1702
12479,CP90-1361
9232,CP94-1505
9233,CP11-1470
9234,Ho06-0560
9235,CP12-1890
9236,CP94-1376
9237,L17-0396
9238,CP18-1790
9239,CP11-2400
9240,CP01-1253
9241,CP12-1719
9242,Ho97-0007
9243,CP99-2073
9244,CP92-1204
9245,CP19-1483
9246,CP16-1129
9247,CPCL05-1099
9584,CP09-2075
9585,CP92-1344
9586,CP90-1340
9587,CP12-1852
9588,CP04-2054
9589,CP96-1078
9590,CP01-1632
9591,Ho19-9326
9592,CP95-2027
9593,CP14-1386
9594,CP03-1928
9595,CP18-4492
9596,CP00-1353
9597,CP53-0022
9598,CPCL06-3426
9599,CP95-1214
7568,CP96-1425
7569,CP13-2413
7570,CP97-1772
7571,CP99-1050
7572,CP14-2441
7573,CP93-1706
7574,CP04-1522
7575,EPC54839
7576,CP90-1669
7577,L05-0448
7578,CP94-1164
7579,CP03-1503
7580,L86Poly01
7581,CP16-1712
7582,CPCL06-3143
7583,CP92-1416
2768,HoCP19-0964
2769,CP94-1807
2770,Ho04-9132
2771,CP97-1526
2772,CP02-1262
2773,CP07-1725
2774,CP12-1154
2775,CP94-1502
2776,CP15-1002
2777,CP16-2019
2778,CP94-1642
2779,LCP86-0410
2780,CP17-2434
2781,CP14-4421
2782,L13-0251
2783,CP09-1848
560,HoCP93-0767
561,CP17-1913
562,CP03-2401
563,CP01-2309
564,CP10-1749
565,CP04-1585
566,CP01-1987
567,CP15-1391
568,CP91-1009
569,Chunnee
570,CP15-4637
571,CP01-2430
572,CP99-1434
573,CP99-1346
574,CP99-1603
575,CP07-2434
12640,CP14-1178
12641,CP01-2449
12642,CP13-1868
12643,CP10-1431
12644,CP13-1430
12645,CP02-1320
12646,CP10-2352
12647,CP02-1865
12648,HoCP17-0767
12649,CP16-4262
12650,Ho13-9164
12651,CP18-2054
12652,CP93-1210
12653,CP13-2183
12654,CP94-1116
12655,CP01-2182
1216,CP95-1623
1217,CP06-2335
1218,CP04-2107
1219,L93-0359
1220,CP01-2444
1221,CP17-1407
1222,CP06-2524
1223,CP00-1847
1224,CP93-1493
1225,Ho17-0755
1226,CP97-2098
1227,CP17-2414
1228,CP09-2298
1229,CP14-1744
1230,CP04-1225
1231,CP07-2067
7984,CP16-1932
7985,CP09-2215
7986,CP11-2352
7987,CP01-1834
7988,CP12-2296
7989,CP92-1687
7990,CP62-0350
7991,CP16-2088
7992,HoCP93-0741
7993,CP04-1868
7994,CP95-1142
7995,CP17-4387
7996,CP01-1128
7997,CP00-2039
7998,Ho14-9258
7999,CP98-1797
20128,CP13-1548
20129,CP97-1897
20130,CP19-1096
20131,CP19-4238
20132,CP53-0023
20133,CP11-1547
20134,CP12-1981
20135,CP12-1864
20136,CP17-2205
20137,CP86-0919
20138,CP01-1507
20139,CPCL06-3308
20140,CP10-1118
20141,CP03-1511
20142,CP18-2094
20143,Pasoeroean
16528,CP12-2025
16529,CP07-2708
16530,CP16-2054
16531,CPCL02-1975
16532,CP15-1592
16533,L89-0109
16534,CP96-1073
16535,CP01-1020
16536,CP09-1210
16537,CP09-1386
16538,CP13-1093
16539,CP10-1068
16540,CP93-1761
16541,LCP83-0125
16542,CP01-2646
16543,CP14-1166
784,CP94-1845
785,CP89-2327
786,CP11-1088
787,CP93-1398
788,CP02-1380
789,CP19-1903
790,CP98-1731
791,CP16-1244
792,CP17-1645
793,CP07-1078
794,CP01-2191
795,CP93-1639
796,CP14-4542
797,CP03-2243
798,CP94-1226
799,CP16-4779
6592,CP09-2046
6593,CP06-2822
6594,CP94-1218
6595,09P20
6596,CP13-2120
6597,CP87-0600
6598,CP92-1160
6599,Ho80-0022
6600,CP99-2003
6601,CP02-1790
6602,CP16-2159
6603,CP95-1664
6604,CP00-1630
6605,CP11-1081
6606,CP18-2396
6607,CP90-1654
7808,L09-0103
7809,CP92-1887
7810,CP02-2008
7811,CP09-1334
7812,CP00-1200
7813,CP12-1372
7814,CP02-1464
7815,CP92-1129
7816,HoCP03-0757
7817,CP00-2198
7818,CP93-1505
7819,CP06-2938
7820,CP01-1980
7821,CP96-1009
7822,CP07-2143
7823,L89-0143
11824,CP13-1475
11825,CP09-1752
11826,CP19-1056
11827,CP92-1034
11828,CP98-1813
11829,CP99-1778
11830,CP95-2034
11831,95P06
11832,LCP81-0023
11833,CP16-2283
11834,CP13-2328
11835,CP95-1646
11836,CP17-1863
11837,CP54-0378
11838,CP19-4322
11839,CP02-1494
6272,CP09-1998
6273,CP12-2123
6274,L95-0486
6275,CP95-1340
6276,CP12-2314
6277,CP01-1536
6278,SP71-3501
6279,CPCL05-1214
6280,CP19-1976
6281,CP02-1845
6282,98P04
6283,CP17-1521
6284,CP11-2080
6285,CP99-1367
6286,CP87-0655
6287,CP03-1951
8976,CP02-1847
8977,CP15-1154
8978,FAM89-686
8979,CP91-1280
8980,CP01-1414
8981,CP01-2639
8982,CP16-2191
8983,CP02-1345
8984,Ho14-9276
8985,CP99-1436
8986,HoCP97-0660
8987,CP13-1568
8988,CP17-2246
8989,Ho19-9303
8990,CP13-1420
8991,92P2
9184,CP87-0656
9185,CP04-1702
9186,CP10-2279
9187,CP18-2369
