,partition,vertex
25413,27,CP99-1886
25414,19,CP18-1110
25415,7,CP17-1310
25416,7,CP18-4536
25417,35,CP94-1835
25418,2,CPCL02-7424
25419,6,CP12-2361
25420,6,CP12-1222
25421,8,CP16-1410
25422,9,CP15-1096
25423,1,CP97-1294
25424,0,CP12-2281
25425,6,CP10-1655
25426,3,CP85-0851
25427,16,CP19-4119
25428,18,CP16-1997
25429,3,CP86-0927
25430,2,CP07-1483
25431,24,CPCL06-3293
25432,16,CP14-1582
25433,14,CP01-1183
25434,0,Ho08-9501
25435,9,CP02-1693
25436,0,L98-0204
25437,19,CP19-2237
25438,19,CP18-2284
25439,3,L98-0163
25440,23,CP13-2025
25441,18,CP19-1907
25442,21,CP03-1229
25443,7,CP15-2093
25444,20,CP14-2116
25445,34,CP93-1722
25446,22,CP99-1402
25447,21,CP00-1332
25448,3,L95-0476
25449,5,CP19-1484
25450,7,CP15-2440
25451,1,CP98-1063
25452,2,CP00-1324
25453,18,CP16-2071
25454,10,CP12-2271
25455,3,CP90-0947
25456,18,CP17-4324
25457,2,CP99-1918
25458,0,L16-0359
25459,11,CP01-1327
25460,13,CPCL14-4081
25461,8,CP18-4126
25462,28,CP12-2446
25463,0,Ho19-9328
25464,1,CP00-1968
25465,29,CP19-1740
25466,18,CP16-1761
25467,12,CP09-1366
25468,18,CP16-1765
25469,13,CP14-4221
25470,2,CP04-1503
25471,33,HoCP96-0568
25472,7,CP18-1535
25473,11,CP01-1088
25474,1,CP11-1286
25475,13,CP13-1527
25476,8,CP18-1395
25477,15,CP06-2616
25478,2,CP02-2521
25479,7,CP16-1537
25480,5,CP94-1788
25481,9,CP13-1267
25482,18,CP17-1681
25483,3,L75-0024
25484,5,CP12-1761
25485,19,CP08-1524
25486,7,CP14-4208
25487,0,HoCP19-0958
25488,27,CP96-1578
25489,4,CP04-1854
25490,9,CP13-1885
25491,18,CP17-4746
25492,17,CP97-1907
25493,17,CP96-1573
25494,3,L84-0263
25495,0,CP15-1881
25496,36,CC85-0092
25497,4,CP03-1029
25498,3,L74-0016
25499,0,HoCP04-0828
25500,21,CP03-1868
25501,21,CP00-1198
25502,2,CP06-2125
25503,18,CP18-4212
25504,3,CP86-0950
25505,18,CP16-2354
25506,2,CP02-1739
25507,18,CP18-1440
25508,6,CP10-1639
25509,9,CP13-1737
25510,8,CP17-2420
25511,18,CP19-4057
25512,19,CP16-4589
25513,0,HoCP14-0889
25514,29,Ho19-9302
25515,26,CP97-1833
25516,3,LCP86-0416
25517,22,CP11-1588
25518,5,CP12-1636
25519,19,CP11-2053
25520,6,CP12-1525
25521,20,CP10-1542
25522,5,CP95-1460
25523,24,CP19-4885
25524,0,Ho09-9127
25525,3,L90-0218
25526,7,CP19-4420
25527,10,CP19-1870
25528,2,CP13-2033
25529,12,CP11-1121
25530,2,CP04-2095
25531,8,CP17-1961
25532,1,CP98-1740
25533,1,CP01-1643
25534,6,CP10-1405
25535,7,CP18-1459
25536,22,US95-1095
25537,0,06P06
25538,3,L66-0098
25539,3,Ho82-0037
25540,3,F31-0962
25541,3,Ho03-0095
25542,3,US65-086-0151
25543,0,HoCP04-0854
25544,3,CP73-0361
25545,3,CP80-0352
25546,6,TCP02-4575
25547,26,CP57-0120
25548,3,Ho73-0028
25549,41,US02-1264
25550,0,CP82-0519
25551,0,Ho02-0840
25552,26,CP99-1373
25553,18,CP17-4836
25554,29,CP19-2150
25555,20,CP11-1655
25556,5,CP93-1718
25557,8,CP17-1626
25558,12,CP06-2362
25559,3,L71-0029
25560,17,CP90-1547
25561,18,CP10-2026
25562,54,CP94-1743
25563,5,CP95-1555
25564,6,CP07-2175
25565,7,CP16-4816
25566,2,CP03-1778
25567,3,CP15-1872
25568,1,CP17-1813
25569,4,CP06-2744
25570,17,CP94-1846
25571,5,CP93-1566
25572,1,CP97-1783
25573,17,CP95-1951
25574,4,CP04-1349
25575,20,CP12-1360
25576,0,L02-0349
25577,10,CP19-4642
25578,11,CP19-1218
25579,21,CP03-1105
25580,17,CP19-1950
25581,1,CP99-1181
25582,15,CP04-1392
25583,2,CP02-3012
25584,17,CP90-1412
25585,18,CP18-1315
25586,21,CP11-2472
25587,22,CP99-1063
25588,6,CP11-1368
25589,3,CP88-0709
25590,5,CP96-1219
25591,11,CP04-1602
25592,2,CP04-1824
25593,20,CP10-1176
25594,14,CP97-1820
25595,2,CP96-1389
25596,0,Ho01-0539
25597,16,CP13-1830
25598,5,CP95-1992
25599,20,CP10-2272
25600,0,Ho07-9024
25601,3,CL54-1910
25602,17,US87-1025
25603,0,Ho09-0827
25604,3,CP70-0324
25605,0,Ho09-9402
25606,0,HoCP96-0509
25607,0,Ho12-9022
25608,4,02P13
25609,3,CP74-0339
25610,4,CP98-1513
25611,1,97P7
25612,3,CP70-0310
25613,19,CL83-3431
25614,10,POLY06-4
25615,3,CP68-1026
25616,18,CP17-2304
25617,0,CP09-1073
25618,10,CP15-1893
25619,2,CP11-2494
25620,23,CP09-1849
25621,16,CP19-4106
25622,8,CP14-2331
25623,1,CP02-1198
25624,18,CP19-2087
25625,7,CP17-4545
25626,13,CP15-1046
25627,18,CP15-1837
25628,7,CP14-1896
25629,2,CP08-1738
25630,6,CPCL02-7230
25631,16,CP13-2019
25632,10,CP09-1172
25633,9,CP15-1264
25634,7,CP18-1742
25635,18,CP19-4671
25636,16,CP14-4463
25637,0,L04-0426
25638,17,CP93-1243
25639,2,CPCL01-6278
25640,16,CP14-4444
25641,27,CP96-1583
25642,6,CP10-1366
25643,2,CP15-2408
25644,8,CP11-1540
25645,2,CP11-2364
25646,0,CP03-2156
25647,3,CP76-0312
25648,2,CPCL06-3170
25649,10,CP15-4034
25650,18,Ho17-0727
25651,0,HoCP18-0862
25652,17,CP90-1596
25653,7,CP15-4302
25654,18,CP19-1862
25655,5,CP94-1496
25656,22,US95-1040
25657,19,CP18-2114
25658,13,CP13-1493
25659,0,Ho10-9226
25660,1,CP99-1269
25661,15,CP93-1089
25662,3,L89-0133
25663,3,LCP85-0380
25664,18,CP16-4464
25665,6,CP13-1712
25666,6,CP12-1485
25667,18,CP19-4367
25668,2,CP02-1755
25669,7,CP15-2438
25670,2,CP03-1996
25671,11,CP01-1452
25672,8,CP14-2329
25673,17,CP92-1515
25674,27,CP96-1620
25675,8,CP17-1327
25676,17,CP94-1262
25677,3,L69-0025
25678,7,CP16-1156
25679,18,CP16-1871
25680,21,CP03-1980
25681,7,CPCL02-2296
25682,2,CP10-1120
25683,0,Ho05-9021
25684,8,CP18-4804
25685,7,CP16-1048
25686,9,CP10-1049
25687,7,CP18-1271
25688,1,CP02-1537
25689,2,CP06-2419
25690,17,CP92-1485
25691,7,CP13-1679
25692,18,CP19-2465
25693,2,CP02-2277
25694,2,CP04-1308
25695,11,CP01-1639
25696,27,CP97-1520
25697,2,CP02-1305
25698,3,CP90-0934
25699,12,CP09-1732
25700,0,CP10-2436
25701,2,CP01-1273
25702,0,HoCP20-0511
25703,1,CP99-1989
25704,10,CP16-2028
25705,8,CP17-4086
25706,16,CP14-4508
25707,2,CP01-1161
25708,5,CP93-1341
25709,2,CP06-3042
25710,5,CP01-1990
25711,8,CP18-2364
25712,13,CP13-2347
25713,11,CP01-1431
25714,14,CP93-1330
25715,6,HoCP14-0815
25716,0,Ho18-9222
25717,20,CP10-1559
25718,17,CP99-1014
25719,17,CP95-1919
25720,19,CP17-2156
25721,27,CP96-1510
25722,1,CP94-2009
25723,1,CP97-1788
25724,13,CP14-4197
25725,13,CPCL14-4098
25726,0,Ho05-9050
25727,5,CP95-1443
25728,10,CP07-2619
25729,11,CP01-1048
25730,12,CP09-1377
25731,21,CP03-1104
25732,17,CP97-1202
25733,9,CP11-2514
25734,7,CP17-1634
25735,4,CP09-1017
25736,5,CP01-1979
25737,1,CP92-1142
25738,11,CP03-1210
25739,2,CP02-2060
25740,13,CPCL06-3161
25741,6,CP07-2138
25742,18,CP17-2060
25743,2,CP03-1737
25744,0,Ho06-0566
25745,26,B46364
25746,0,Ho12-9038
25747,3,CP78-0303
25748,0,Ho00-0015
25749,0,Ho12-0620
25750,3,CP29-0307
25751,26,Co361
25752,0,Ho12-9018
25753,3,CP36-0183
25754,0,HoCP12-0648
25755,0,Ho11-0524
25756,3,Ho82-0011
25757,0,L02-0341
25758,0,Ho08-9504
25759,0,Ho96-0566
25760,14,CP93-1323
25761,11,CP91-1324
25762,4,CP06-2268
25763,13,CPCL05-1128
25764,7,CP17-4563
25765,0,CP11-2182
25766,5,CP94-1707
25767,2,CPCL02-0618
25768,13,CPCL02-0497
25769,3,CP71-0325
25770,12,CP09-1730
25771,18,CP17-2045
25772,5,CP94-1005
25773,27,CP96-1314
25774,18,CP16-1903
25775,6,CPCL02-1400
25776,11,CP91-1666
25777,0,CP10-2346
25778,5,CP95-1462
25779,2,CP04-1579
25780,2,CP02-2007
25781,8,CP19-4468
25782,2,CP02-1239
25783,3,CP92-1835
25784,3,L80-0044
25785,27,CP96-1577
25786,4,CP04-1583
25787,17,CP92-1713
25788,1,CP91-1510
25789,6,CP10-2078
25790,5,CP95-1832
25791,3,CP86-0913
25792,19,CP11-1043
25793,15,CP94-1334
25794,2,CP03-2215
25795,4,CP04-1710
25796,10,CP17-2350
25797,15,CP14-2047
25798,3,HoCP94-0823
25799,7,CP14-2529
25800,10,CP14-1924
25801,4,CP04-1891
25802,0,HoCP97-0661
25803,0,Ho16-0601
25804,17,CP01-1558
25805,19,CP16-2493
25806,19,CP12-1276
25807,5,CP93-1409
25808,35,CP95-1873
25809,2,CPCL02-6673
25810,2,CP15-4599
25811,8,CP19-1811
25812,1,CP98-1209
25813,9,CPCL02-6140
25814,13,CP12-2234
25815,15,CP93-1367
25816,0,CP11-2135
25817,12,CP14-1378
25818,27,CP96-1543
25819,7,CP10-2452
25820,11,CP01-1437
25821,22,CP98-1772
25822,11,CP03-1884
25823,6,CP12-2343
25824,1,CP98-1055
25825,8,CP19-2255
25826,2,CP02-1462
25827,6,CP12-2038
25828,19,CP19-2340
25829,2,CP06-2134
25830,7,CP16-1079
25831,18,CP17-4780
25832,3,CP83-0649
25833,18,CP17-1910
25834,3,L96-0091
25835,18,CP16-1882
25836,3,L89-0128
25837,2,CP01-1276
25838,18,CP15-2239
25839,2,CP02-1255
25840,3,L60-0001
25841,9,CP14-4419
25842,2,CP04-1326
25843,13,CP13-1525
25844,20,CP12-1492
25845,32,CP96-1991
25846,1,HoCP97-0600
25847,2,CP03-1329
25848,1,CP02-2530
25849,10,CP09-1175
25850,18,CP16-1981
25851,13,CPCL14-4046
25852,8,CP16-2142
25853,7,CP19-1389
25854,18,CP17-4790
25855,2,CP99-1710
25856,0,L01-0290
25857,5,CP96-1456
25858,18,CP19-1890
25859,15,CP92-1016
25860,2,CPCL06-3475
25861,1,CP99-2098
25862,25,CP11-1353
25863,4,CP04-1584
25864,18,CP19-1912
25865,7,CP15-1964
25866,1,CP98-1252
25867,8,CP14-1710
25868,2,CP01-2046
25869,7,CP17-1517
25870,27,CP96-1568
25871,1,CP98-1230
25872,3,CP78-0355
25873,0,HoL10-0936
25874,3,CP36-0013
25875,0,Ho01-0025
25876,8,CP12-2472
25877,3,CP46-0115
25878,0,HoCP02-0625
25879,0,Ho10-0937
25880,3,Ho00-0011
25881,31,Ho94-0112
25882,2,US97-0022
25883,20,Mix 07 U
25884,0,HoCP12-0661
25885,5,CP89-2327
25886,3,TCP89-3513
25887,29,HoCP12-0647
25888,5,CP94-1669
25889,0,CP16-4768
25890,0,L03-0381
25891,6,CP10-1135
25892,18,CP19-1528
25893,0,HoCP19-0914
25894,0,Ho07-9003
25895,17,CP97-1996
25896,25,CP12-1386
25897,7,CP14-1055
25898,27,CP01-1846
25899,0,CP17-1554
25900,27,CP96-1536
25901,1,CP03-2470
25902,9,CP13-1301
25903,9,CP13-1892
25904,6,CP11-1369
25905,3,L67-0020
25906,18,CP14-1525
25907,8,CP17-1551
25908,2,CP02-2279
25909,4,CP03-1243
25910,19,CP12-2181
25911,18,CP16-2151
25912,10,CP15-1057
25913,29,CP19-2173
25914,12,CP09-2153
25915,12,CPCL02-7428
25916,6,CP12-2369
25917,10,CP07-2598
25918,0,HoCP11-0558
25919,13,CPCL06-3162
25920,18,CP17-4566
25921,17,CP91-1276
25922,0,HoCP15-0998
25923,11,CP02-2125
25924,56,CP99-1998
25925,0,Ho13-9130
25926,18,CP16-2170
25927,0,Ho17-9108
25928,21,CP03-1182
25929,28,CP15-1439
25930,7,CP16-2241
25931,1,CP98-1047
25932,6,CP12-1341
25933,6,CP10-2197
25934,7,CP09-1024
25935,7,CP13-1974
25936,0,HoCP18-0816
25937,27,CP98-1587
25938,2,CP02-1353
25939,32,CP00-1920
25940,1,CP00-1230
25941,1,CP98-1903
25942,35,CP94-2135
25943,10,CP16-1663
25944,2,CP99-2083
25945,7,CP16-4068
25946,10,CP09-1062
25947,6,CP10-1916
25948,16,CP14-1767
25949,2,CP12-1855
25950,18,CP17-2319
25951,1,CP97-1055
25952,8,CP19-2295
25953,18,CP13-4115
25954,22,CP01-1524
25955,0,Ho14-9208
25956,2,CP03-1057
25957,9,CP09-2115
25958,5,CP94-1554
25959,20,CP10-1187
25960,16,CP16-4923
25961,1,CP00-1205
25962,6,CP14-2551
25963,12,CP14-1240
25964,6,CP09-1525
25965,8,CP19-2217
25966,4,CP06-2711
25967,0,CP16-2318
25968,0,CP92-0622
25969,3,L89-0122
25970,7,CP14-1846
25971,0,Ho16-0610
25972,2,CP17-4336
25973,33,CP97-2209
25974,2,CP02-1587
25975,11,CP01-1047
25976,0,CP07-1973
25977,3,L48-0236
25978,21,CP03-1102
25979,1,CP11-1287
25980,2,CP02-2114
25981,2,CP00-1238
25982,28,CP13-4144
25983,6,CP10-2072
25984,27,CP96-1309
25985,5,CP94-1716
25986,0,L96-0027
25987,23,CP13-2360
25988,7,CP16-1096
25989,6,CP12-2053
25990,23,CP12-2329
25991,1,CP92-1602
25992,4,CP04-1499
25993,18,CP19-1442
25994,2,CPCL06-3210
25995,8,CP16-1254
25996,0,L96-0005
25997,17,CP81-1475
25998,18,CP19-1268
25999,2,CP99-1839
26000,18,CP17-4683
26001,33,CP97-2139
26002,11,CP15-4621
26003,2,CP14-2237
26004,18,CP18-1826
26005,2,CP11-1573
26006,0,CP01-1932
26007,15,CP94-1158
26008,2,CP01-2184
26009,9,CP10-1746
26010,12,CP15-1914
26011,5,CP96-1296
26012,0,CP10-2432
26013,8,CP19-2139
26014,2,CP17-4309
26015,1,CP00-1025
26016,7,CP14-4554
26017,6,CP10-1347
26018,6,CP10-1765
26019,17,CP91-1377
26020,1,CP98-1774
26021,4,CP03-2140
26022,13,CPCL08-2275
26023,0,CP93-1675
26024,2,CP04-1445
26025,3,CP92-1818
26026,17,CP99-1744
26027,22,CP98-1022
26028,12,CP06-2250
26029,20,CP10-1879
26030,8,CP19-2360
26031,0,HoCP96-0523
26032,0,L14-0285
26033,3,Ho76-0102
26034,3,Ho80-0014
26035,33,Ho99-0002
26036,3,SES146
26037,3,Ho74-0012
26038,0,Ho04-9113
26039,0,Ho05-9062
26040,26,B16356
26041,3,H32-6774
26042,0,HoCP03-0708
26043,18,CP02-1158
26044,0,Ho13-9154
26045,17,87P07
26046,3,CP70-0402
26047,3,CP78-0310
26048,16,CP14-2350
26049,0,CP07-1539
26050,5,CP94-1988
26051,3,CP82-0507
26052,18,CP19-1213
26053,6,CPCL05-1089
26054,10,CP15-4585
26055,25,CP13-1005
26056,23,CP15-4080
26057,18,CP16-4460
26058,1,CP06-2216
26059,10,CP15-1861
26060,7,CP13-1635
26061,0,Ho14-0913
26062,18,CP18-1823
26063,41,CP05-1658
26064,23,CP12-2077
26065,0,CP06-2591
26066,1,CP98-1083
26067,18,CP19-2427
26068,15,CP93-1103
26069,26,CP98-1983
26070,26,CP00-1463
26071,3,CP89-0829
26072,0,HoCP99-0856
26073,8,CP19-2394
26074,28,CP13-2046
26075,9,CP13-1592
26076,3,Ho99-0021
26077,5,CP95-1688
26078,7,CP15-2013
26079,13,CP13-1513
26080,3,CP89-0866
26081,12,CP06-2260
26082,5,CP95-1404
26083,7,CP19-1482
26084,9,CP09-1321
26085,0,HoCP05-0928
26086,2,CP04-1639
26087,6,CP07-1081
26088,19,CP17-1029
26089,35,CP95-1510
26090,2,CPCL06-3182
26091,1,CP00-1036
26092,4,CP04-1206
26093,8,CP19-2402
26094,0,CP16-4789
26095,0,CP02-2017
26096,0,CP01-1018
26097,0,Ho07-9615
26098,5,CP95-1119
26099,12,CP11-1067
26100,19,CP14-2241
26101,4,CP03-1025
26102,7,CP14-2236
26103,6,CP07-2302
26104,1,CP98-1919
26105,28,CP13-1799
26106,13,CPCL02-7154
26107,11,CP90-1401
26108,5,CP93-1434
26109,12,CP09-1271
26110,2,CP01-1483
26111,1,CP97-1051
26112,0,CP17-2198
26113,13,CP12-1662
26114,16,CP15-1533
26115,12,CP06-2815
26116,17,CP01-2427
26117,1,CP05-1590
26118,8,CP14-1957
26119,17,CP91-1369
26120,5,CP95-1114
26121,5,CP96-1482
26122,17,CP92-1578
26123,5,CP96-1156
26124,1,CP92-1301
26125,1,CP91-1408
26126,18,CP15-2162
26127,10,CP19-1695
26128,30,CP03-1549
26129,5,CP02-2439
26130,18,CP15-4800
26131,7,CP18-1619
26132,2,CP02-1799
26133,8,CP16-1109
26134,7,CP15-1311
26135,2,CP02-1944
26136,4,CP04-1637
26137,25,CP13-1076
26138,0,CP11-2078
26139,16,CP15-1534
26140,10,CP19-1874
26141,5,CP93-1651
26142,7,CP19-4406
26143,7,CP14-1671
26144,6,CP14-1134
26145,2,CP01-1884
26146,12,CP09-2186
26147,17,CP92-1512
26148,2,CP02-2451
26149,2,CP01-2336
26150,1,CP97-1044
26151,0,Ho16-9053
26152,3,CP69-0387
26153,0,HoCP14-0803
26154,16,CP15-4250
26155,7,CP16-4290
26156,11,CP15-1760
26157,3,L04-0401
26158,18,CP18-2235
26159,6,CP04-2005
26160,13,POLY09-25
26161,27,CP57-0603
26162,17,CP82-2043
26163,10,CPCL05-1201
26164,7,CP07-2046
26165,7,CP09-4267
26166,1,CL72-0321
26167,8,CP08-1995
26168,3,CP52-0068
26169,0,HoCP01-0517
26170,0,L99-0226
26171,2,CP92-1561
26172,18,CP09-1512
26173,0,HoCP04-0838
26174,3,LCP81-0030
26175,2,CP95-1569
26176,4,CP04-1118
26177,18,CP18-2036
26178,0,CP03-1677
26179,2,CP04-1341
26180,16,CP19-4120
26181,8,CP14-2133
26182,18,CP15-1471
26183,3,CP89-0853
26184,5,CP96-1043
26185,5,HoCP00-0922
26186,14,CP99-1994
26187,5,CP02-1027
26188,8,CP12-1078
26189,1,CP04-1017
26190,17,CP97-1999
26191,35,CP92-1005
26192,6,CP12-1325
26193,14,CP92-1414
26194,0,Ho03-0043
26195,8,CP19-1470
26196,19,CP18-2453
26197,0,CP15-1618
26198,3,CP78-0343
26199,0,L96-0018
26200,15,CP92-1184
26201,5,CP99-1875
26202,5,CP02-1025
26203,7,CP14-1106
26204,23,CP09-1282
26205,1,CP98-1231
26206,2,CP96-1800
26207,2,CP03-1445
26208,17,CP92-1463
26209,0,L02-0348
26210,8,CP19-2045
26211,6,CP10-1664
26212,7,CP09-1812
26213,8,CP16-1442
26214,27,CP97-1412
26215,7,CP15-1332
26216,0,CP01-2303
26217,2,CP02-2496
26218,7,CP18-4289
26219,2,CP14-2279
26220,12,CP09-1378
26221,10,CP19-4644
26222,18,CP19-4264
26223,1,CP00-1569
26224,27,CP96-1191
26225,2,CP00-1076
26226,1,CP99-1506
26227,1,CP97-1054
26228,8,CP19-1848
26229,7,CP19-4828
26230,1,CP95-2010
26231,8,CP19-2455
26232,6,CP14-1373
26233,14,CP92-1404
26234,5,CP99-1752
26235,31,CP04-1318
26236,16,CP12-1689
26237,3,L97-0107
26238,16,CP14-1419
26239,18,CP13-1783
26240,2,CP02-1717
26241,10,CP16-2110
26242,7,CP18-4642
26243,9,CP18-4015
26244,10,CP17-1151
26245,18,CP16-2212
26246,0,HoCP07-0622
26247,3,CP63-0314
26248,13,CP13-2316
26249,0,CP18-2270
26250,9,CP13-1431
26251,0,L96-0052
26252,5,CP94-1721
26253,9,CP05-1462
26254,11,CP04-1599
26255,13,CP13-1505
26256,1,CP03-1506
26257,0,HoCP13-0768
26258,2,CP02-2104
26259,8,CP19-1089
26260,7,CP15-4285
26261,18,CP16-2132
26262,6,CP10-1092
26263,9,CP13-1246
26264,18,CP15-4645
26265,0,HoCP18-0837
26266,4,CP04-1886
26267,2,CP03-1993
26268,5,CP95-1641
26269,5,CP94-1186
26270,3,LCP83-0189
26271,2,CP10-2031
26272,18,CP17-4704
26273,2,CP02-2552
26274,2,CP01-1347
26275,24,CPCL05-1082
26276,0,CP10-1963
26277,12,CP09-1910
26278,3,L72-0003
26279,1,CP00-1538
26280,45,CP06-2194
26281,18,CP16-4453
26282,6,CP14-1156
26283,7,CP18-1496
26284,6,CP09-1516
26285,17,CP00-1520
26286,6,CP13-1715
26287,0,Ho94-0855
26288,2,CP02-1362
26289,0,L20-0040
26290,7,CP17-1186
26291,2,CP02-1172
26292,9,CP10-1758
26293,6,CP09-2391
26294,29,CP17-2427
26295,1,CP99-1644
26296,7,CP17-1009
26297,22,CP99-1388
26298,2,CP06-2430
26299,18,CP17-4261
26300,6,CP11-1676
26301,8,CP14-1950
26302,22,CP98-1695
26303,0,HoCP18-0856
26304,25,CP13-1421
26305,0,HoCP06-0516
26306,26,CP99-1330
26307,3,CP85-0812
26308,1,CP00-1817
26309,18,CP15-4824
26310,0,HoCP98-0736
26311,7,CP15-1427
26312,16,CP14-1085
26313,2,CP01-2383
26314,1,CP92-1603
26315,18,CP15-2351
26316,22,CP97-2059
26317,0,Ho16-0661
26318,7,CP18-1584
26319,5,CP93-1151
26320,17,TCP92-4208
26321,3,CP86-0941
26322,0,Ho11-9336
26323,0,SES323
26324,6,CP01-1181
26325,16,CL88-5026
26326,3,Ho82-0031
26327,3,US66-0065-0011
26328,22,US95-1088
26329,0,Ho10-9251
26330,3,CP86-0947
26331,0,L01-0306
26332,0,Tuc89-0028
26333,3,CP27-0035
26334,3,CP0726
26335,0,Ho12-9052
26336,0,HoCP11-0543
26337,46,CP05-1712
26338,20,CP10-2167
26339,17,CP01-1567
26340,0,Ho07-9004
26341,16,CP19-4104
26342,7,CP14-4494
26343,0,HL88-3002
26344,17,CP91-1366
26345,1,CP98-1721
26346,16,CP14-4283
26347,7,CP13-1335
26348,12,CP14-1379
26349,8,CP07-1376
26350,8,CP14-1809
26351,3,L84-0267
26352,18,CP19-1857
26353,8,CP17-1854
26354,2,CP02-2116
26355,3,L94-0438
26356,9,CP02-1704
26357,5,HoCP97-0650
26358,2,CP01-1660
26359,0,Ho16-0605
26360,1,HoCP03-0755
26361,3,Ho99-0014
26362,19,CP10-1835
26363,5,CP95-1670
26364,7,CP19-1013
26365,2,CP03-2333
26366,21,CP03-1113
26367,2,CPCL05-1058
26368,7,CP17-1301
26369,13,CP11-2262
26370,6,CP12-2066
26371,14,CP01-2127
26372,19,CP15-2531
26373,3,HoCP00-0957
26374,16,CP15-1849
26375,6,CP12-1338
26376,2,CP04-1815
26377,2,CP03-2452
26378,8,CP11-1393
26379,7,CP17-1304
26380,18,CP17-2095
26381,0,CP01-1935
26382,0,HoCP18-0803
26383,18,CP17-1742
26384,7,CP16-1056
26385,8,CP04-1063
26386,0,L09-0096
26387,18,CP16-1967
26388,22,CP98-1190
26389,3,HoCP99-0821
26390,8,CP07-1755
26391,16,CP14-4555
26392,6,CP12-1206
26393,2,CPCL06-3474
26394,5,CP94-1698
26395,9,CP11-2179
26396,18,CP18-2424
26397,19,CP16-2291
26398,9,CP09-2352
26399,8,CP16-4141
26400,8,CP19-1810
26401,2,CP01-2210
26402,1,CP97-2018
26403,2,CPCL02-1030
26404,0,L13-0255
26405,20,CP12-1824
26406,3,L65-0067
26407,9,CP07-1945
26408,17,CP02-1454
26409,5,CP94-1295
26410,7,CP09-1783
26411,2,CP96-1086
26412,16,CP14-1559
26413,2,CP02-2390
26414,4,CP06-2728
26415,0,CP06-2370
26416,7,CP13-1318
26417,4,CP04-1673
26418,32,CP96-1605
26419,8,CP03-2428
26420,7,CP16-4221
26421,5,CP96-1380
26422,0,L15-0333
26423,0,Ho19-9313
26424,3,LCP86-0431
26425,27,CP95-1995
26426,18,CP16-1821
26427,5,CP17-1836
26428,18,CP16-2096
26429,2,CPCL06-3254
26430,0,Ho03-0029
26431,2,CP03-1319
26432,2,CP02-2431
26433,3,L91-0256
26434,0,Ho13-9135
26435,21,CP96-1693
26436,3,LCP84-0202
26437,2,CP03-1321
26438,18,CP18-1825
26439,18,CP16-2149
26440,5,CP94-1072
26441,5,CP98-1501
26442,2,CP03-2099
26443,0,CP17-2211
26444,3,CP83-0661
26445,7,CP14-2503
26446,8,CP19-1566
26447,4,CP04-1408
26448,16,CP09-2237
26449,17,CP91-1374
26450,0,HoCP13-0746
26451,16,CP14-1938
26452,5,CP95-1470
26453,7,CP17-1067
26454,11,CP01-2697
26455,8,CP18-2214
26456,7,CP16-1291
26457,2,CP04-1682
26458,23,CP13-1843
26459,0,CP07-2413
26460,0,HoCP94-0833
26461,10,CP19-2482
26462,20,CP10-1544
26463,10,CP16-4317
26464,10,CP19-1685
26465,6,CPCL02-1428
26466,20,CP12-1555
26467,15,CP92-1106
26468,6,CP07-2137
26469,5,CP94-1027
26470,19,CP09-1608
26471,16,CP14-1607
26472,12,CP09-1705
26473,26,CP97-1829
26474,5,CP93-1587
26475,11,CP04-1951
26476,16,CP14-1192
26477,11,CP03-1881
26478,12,CP11-1952
26479,3,LCP87-0477
26480,20,CP19-4533
26481,5,CP95-2148
26482,12,CP09-2335
26483,15,CP14-2060
26484,18,CP17-1717
26485,0,L06-0032
26486,0,HoCP15-0552
26487,8,CP18-1399
26488,5,HoCP99-0816
26489,3,L94-0405
26490,3,CP87-0669
26491,12,CP09-1570
26492,19,CP18-1722
26493,6,CP09-1965
26494,18,CP17-1895
26495,16,CP10-2039
26496,17,CP00-1904
26497,0,L15-0326
26498,10,CP15-1894
26499,29,CP19-1778
26500,5,CP95-1099
26501,7,CP16-1510
26502,20,CP12-1607
26503,8,CP19-2454
26504,28,CP14-1465
26505,11,CP14-2208
26506,23,CP13-2440
26507,1,CP14-2147
26508,3,Ho11-9312
26509,2,CP03-2465
26510,18,CP15-2153
26511,0,Ho18-9239
26512,21,CP06-2030
26513,21,CP03-1398
26514,0,Ho15-0977
26515,0,Ho76-0215
26516,8,CP18-1398
26517,2,CP00-1707
26518,14,CP03-1427
26519,3,L95-0456
26520,13,CPCL13-4037
26521,2,CP02-1746
26522,5,CP02-1574
26523,18,CP14-1528
26524,2,CP02-1716
26525,9,CP13-1271
26526,5,CP90-1375
26527,2,CP97-1248
26528,4,CP04-1671
26529,16,CP14-2189
26530,0,Ho11-0518
26531,12,CP09-1147
26532,0,11P2
26533,7,CP15-4635
26534,6,CP13-1714
26535,7,CP14-1727
26536,19,CP15-2432
26537,7,CP15-2073
26538,3,CP62-0307
26539,8,CP14-1595
26540,5,CP94-1108
26541,3,CP88-0713
26542,4,CP06-2693
26543,18,CP17-1711
26544,1,CP04-1493
26545,27,CP98-1652
26546,8,CP14-1593
26547,0,Ho09-0851
26548,12,CP11-1959
26549,3,HoCP95-0901
26550,2,CP03-2307
26551,5,CP94-1519
26552,3,Ho87-0009
26553,0,CP01-1023
26554,5,CP93-1399
26555,17,CP92-1230
26556,15,CP92-1056
26557,2,CP09-2366
26558,21,CP01-2587
26559,4,CP07-1915
26560,7,CP18-1732
26561,16,CP09-2331
26562,2,CP15-1257
26563,21,CP06-2935
26564,5,CP94-1918
26565,3,Ho98-0020
