,partition,vertex
381,2,CP02-1782
382,17,CP97-1105
383,21,CP01-2429
384,1,CP14-1062
385,7,CP13-1333
386,5,CP00-2154
387,0,L14-0281
388,18,CP17-4788
389,34,CP94-1407
390,10,CP19-1208
391,19,CP12-2182
392,1,CP97-1277
393,8,CP18-4390
394,2,CP01-2479
395,18,CP15-2200
396,7,CP16-2282
397,13,CPCL06-3440
398,9,CP11-1179
399,8,CP19-1561
400,7,CP15-4170
401,8,CP19-2391
402,4,CP03-1245
403,18,CP17-4372
404,2,CP03-1446
405,16,CP14-2006
406,7,CP17-4510
407,17,CP98-1524
408,22,CP99-1415
409,1,CP00-1955
410,27,CP97-1383
411,38,CP92-1260
412,9,CP13-1582
413,21,CP06-2899
414,3,LCP86-0434
415,2,CP03-2439
416,9,CP10-1749
417,4,CP04-1585
418,7,CP15-1391
419,17,CP91-1009
420,5,CP01-1987
421,7,CP15-4637
422,21,CP01-2430
423,1,CP99-1434
424,26,CP99-1346
425,17,CP99-1603
426,9,CP07-2434
427,19,CP12-1454
428,6,CP10-1231
429,0,L15-0323
430,27,CP97-1964
431,14,CP92-1418
432,0,CP07-1548
433,0,Ho17-0754
434,0,Ho15-9365
435,1,CP03-1407
436,19,CP10-1866
437,11,CP03-1145
438,1,CP99-1177
439,9,CPCL06-3319
440,25,CP19-1362
441,3,L64-0063
442,6,CP10-2074
443,8,CP14-4461
444,7,CP16-1521
445,2,CP02-1732
446,0,Ho08-9012
447,2,CP03-1658
448,5,CP95-1429
449,24,CPCL06-3281
450,8,CP01-2472
451,18,CP16-1900
452,3,L73-0032
453,11,CP01-1322
454,2,CP00-1713
455,6,CP09-1989
456,2,CP14-2093
457,7,CP14-1279
458,2,CP09-2405
459,16,CP15-1611
460,9,CP00-1351
461,18,CP15-1873
462,3,CP78-0388
463,2,CP01-1553
464,2,CP01-2053
465,5,CP94-1864
466,0,L98-0173
467,5,CP95-1853
468,9,CP13-1593
469,18,CP17-4651
470,2,CP02-2112
471,18,CP15-2144
472,14,CP92-1375
473,1,CP98-1052
474,13,CPCL14-4056
475,27,CP95-1533
476,18,CP14-2027
477,7,CP14-1684
478,2,CP07-2043
479,5,CP02-1930
480,2,CP02-2152
481,23,CP13-1838
482,2,CP00-1195
483,2,CP03-2315
484,1,CP97-1369
485,0,Ho15-9353
486,5,CP95-1675
487,3,Ho99-0048
488,8,CP15-4387
489,7,CP15-2194
490,18,CP10-2007
491,9,CP13-1575
492,1,CP00-1956
493,1,CP99-1254
494,2,CP03-2346
495,3,L75-0007
496,9,CP13-1302
497,12,CP11-1977
498,5,CP99-1805
499,15,CP06-2645
500,22,CP99-1304
501,17,CP92-1697
502,25,CP11-1400
503,17,CP01-1606
504,7,CP14-1686
505,2,CP97-1255
506,0,HoCP98-0742
507,18,CP17-2058
508,20,CP19-1601
509,7,CP19-4842
