pagerank,vertex
1.9681724e-05,CP17-1673
2.2268823e-05,CP11-2124
1.967188e-05,CP13-1612
2.5733638e-05,AFRI15-0005
1.9622572e-05,CP02-2147
1.9727355e-05,CP95-1835
2.0012978e-05,CPCL01-6755
2.0306516e-05,CP94-1887
2.046423e-05,CP19-1745
1.9814588e-05,CP15-4719
2.0542426e-05,HoL05-0952
2.1140964e-05,CP14-1065
1.982081e-05,CP09-2073
1.9958818e-05,L64-0059
2.0085177e-05,CP97-1361
1.9665444e-05,CP19-4603
2.0086243e-05,CP01-2277
1.997268e-05,CP02-1632
1.9638474e-05,CP04-1095
2.2548431e-05,CP16-1021
3.482832e-05,Ho76-0116
2.023474e-05,CP17-2477
2.1568902e-05,CP19-2251
1.9804336e-05,CP95-1111
1.9727659e-05,CP11-2267
1.9687388e-05,CP03-1428
1.9785832e-05,CP11-2408
1.9727953e-05,CP03-1946
2.0552294e-05,CPCL13-4040
1.9744128e-05,CP92-1117
2.0012978e-05,CPCL13-4014
1.9745305e-05,CP04-1902
2.5963009e-05,Ho96-0016
2.015133e-05,Ho04-9071
1.9712905e-05,CP16-2188
1.9931123e-05,L15-0306
2.1138883e-05,CP02-1235
1.99088e-05,CP97-1461
2.0177418e-05,CP19-4090
1.9927405e-05,CP19-1553
1.9931487e-05,CP98-1065
2.148268e-05,L02-0340
2.0741922e-05,CP10-1930
2.5787862e-05,CP95-1903
2.5702446e-05,POJ0213
1.9847534e-05,CP09-1921
2.0539639e-05,CP93-1601
2.0150324e-05,CP15-4523
1.9942543e-05,CP10-2289
2.4821982e-05,HoCP95-0949
2.1504371e-05,HoCP20-0560
1.9732224e-05,CP17-1419
2.0006803e-05,CP13-1284
1.9868048e-05,CP14-1967
5.5266995e-05,US66-92-4
2.1495383e-05,CP09-1247
1.9782494e-05,CP16-1827
2.0013598e-05,CP06-2397
1.9815267e-05,CP06-2750
1.985911e-05,CP19-1093
1.962586e-05,CP15-2433
1.9898425e-05,CP17-1351
2.0354038e-05,CP99-1231
2.0202486e-05,CP12-2324
3.7017977e-05,Ho10-0912
2.0228785e-05,CP16-1009
1.985998e-05,CP01-1630
2.0821046e-05,CP17-2174
1.9903364e-05,CP94-1383
1.9696105e-05,CP00-1913
1.983342e-05,CP11-1739
3.6251262e-05,D0103
2.3696335e-05,LCP83-0158
1.9842802e-05,CP02-1476
1.965205e-05,CP01-2250
1.9731991e-05,CP13-1167
1.9826935e-05,CP93-1144
2.13738e-05,CP12-2167
1.9757294e-05,CP10-1085
1.9815301e-05,CP07-1767
1.9670266e-05,CP01-1006
1.9882882e-05,L88-0032
1.9686773e-05,CP16-1738
2.0419093e-05,CP14-1922
4.3328528e-05,CP77-0414
2.1970194e-05,CP92-1908
1.9781533e-05,CP14-1448
1.9744128e-05,CP92-1048
2.1491845e-05,CP07-2196
2.1614147e-05,CP07-1913
2.0208008e-05,CP01-1973
1.9687788e-05,CP17-1039
1.9727355e-05,CP95-1825
1.9671876e-05,CP17-4803
1.9724377e-05,CP03-1838
1.9855743e-05,CPCL06-3315
2.0393667e-05,CP10-1262
1.9633382e-05,CP18-1959
1.982001e-05,CP15-4463
1.9699566e-05,CP99-1754
1.9885509e-05,CP02-2223
5.807707e-05,Ho92-0001
1.9875259e-05,CP17-1785
1.974353e-05,CP92-1572
2.1312797e-05,HoL15-0539
1.964869e-05,CP06-2723
1.9671876e-05,CP17-4801
2.0424524e-05,CP84-0702
2.1147498e-05,CP55-0015
1.9685847e-05,CP98-1197
1.9847193e-05,CP18-4064
2.0806685e-05,HoCP07-0606
2.026292e-05,CP10-1690
1.979054e-05,HoCP91-0573
2.0172343e-05,CP10-2218
1.985104e-05,CP18-1970
1.9655825e-05,CP17-1911
1.974427e-05,CP95-1283
